Attraction,City
Biblioteca Joan Miró,"Barcelona, Spain"
Parròquia de Santa Madrona,"Barcelona, Spain"
Montseny,"Barcelona, Spain"
Monumento a Emili Vilanova,"Barcelona, Spain"
Casa Fargas,"Barcelona, Spain"
Museu Africà Daniel Comboni,"Barcelona, Spain"
Casa Evarist Juncosa,"Barcelona, Spain"
Jardines De Menendez & Pelayo,"Barcelona, Spain"
El Quatre Barcelona,"Barcelona, Spain"
Placa de l'Armada,"Barcelona, Spain"
Pla de Palau Lampposts Antoni Gaudi,"Barcelona, Spain"
Monumento a Blancanieves,"Barcelona, Spain"
Esart Galeria,"Barcelona, Spain"
Maria Aguilo,"Barcelona, Spain"
Palau Blaugrana,"Barcelona, Spain"
Deessa de Josep Dunyach,"Barcelona, Spain"
Palau Fivaller,"Barcelona, Spain"
La Industria  Agapit Vallmitjana i Barbany,"Barcelona, Spain"
La Capella,"Barcelona, Spain"
Jardins de Safo,"Barcelona, Spain"
Centre d'Interpretació dels Tres Tombs de Sant Andreu,"Barcelona, Spain"
Tarragona de Jaume Otero,"Barcelona, Spain"
Jardi de les Escultures,"Barcelona, Spain"
El Corte Ingles Can Drago,"Barcelona, Spain"
Centre d'Estudis I Documentacio Del Macba,"Barcelona, Spain"
El Cacador de Lleons,"Barcelona, Spain"
Treball de Llucia Osle,"Barcelona, Spain"
Lleida de Joan Borrell,"Barcelona, Spain"
L'Agricultura de Venanci Vallmitjana,"Barcelona, Spain"
Comision Nacional De Los Mercados & La Competencia,"Barcelona, Spain"
Museu Etnologic Del Montseny,"Barcelona, Spain"
Nacimiento de Venus,"Barcelona, Spain"
Outlet Menaje Hogar,"Barcelona, Spain"
Iglesia Del Sagrado Corazón,"Barcelona, Spain"
Olas De Acero,"Barcelona, Spain"
Barcel-one Galeria,"Barcelona, Spain"
Parròquia de Sant Isidor,"Barcelona, Spain"
Sanatori Antituberculos,"Barcelona, Spain"
Parroquia San Odón,"Barcelona, Spain"
Als barcelonins morts als camps d'extermini nazi,"Barcelona, Spain"
Homenatge a l'Exposicio Universal de 1888,"Barcelona, Spain"
Campana De La Pau,"Barcelona, Spain"
Font a Marieta de l'Ull Viu,"Barcelona, Spain"
Jardins d'Antoni Puigvert,"Barcelona, Spain"
Orquestra Simfonica de Barcelona - OBC,"Barcelona, Spain"
Fundacion Ramon Pla Armengol,"Barcelona, Spain"
Oficina24,"Barcelona, Spain"
Fuente de los Niños,"Barcelona, Spain"
Fuente de la Ciguena y del Zorro,"Barcelona, Spain"
Galeria Jose de Ibarra,"Barcelona, Spain"
Civic Centre Can Baste,"Barcelona, Spain"
Font publica de la travessera de Gracia,"Barcelona, Spain"
Casa Gallart i Palau de les Heures,"Barcelona, Spain"
Parroquia de Sant Pacia,"Barcelona, Spain"
Galeria Marlborough,"Barcelona, Spain"
Jardins de Paula Montal,"Barcelona, Spain"
Antic Car Club De Catalunya,"Barcelona, Spain"
Monumento a Antonio Lopez & Lopez,"Barcelona, Spain"
Tot2ma,"Barcelona, Spain"
Palaus d'Alfons XIII i Victoria Eugenia,"Barcelona, Spain"
Font d'Hercules,"Barcelona, Spain"
Font de Neptu,"Barcelona, Spain"
A la prensa d'aquell dia..,"Barcelona, Spain"
Esglesia dels Pares Camils,"Barcelona, Spain"
Oficina D’Atencio Ciutadana Gracia,"Barcelona, Spain"
Casa Antoni Costa,"Barcelona, Spain"
A Margarida Xirgu,"Barcelona, Spain"
Casa Agusti Atzeries,"Barcelona, Spain"
Antiguedades Argar,"Barcelona, Spain"
Parroquia de San Esteban,"Barcelona, Spain"
Maternidad,"Barcelona, Spain"
Aerobús,"Barcelona, Spain"
Suntransfers,"Barcelona, Spain"
Museo Alien,"Barcelona, Spain"
Kidnapped in BCN,"Barcelona, Spain"
Taller Gingell,"Barcelona, Spain"
Food Lover Tour,"Barcelona, Spain"
Nostos Tours,"Barcelona, Spain"
Excursions Barcelona,"Barcelona, Spain"
Gastronomic Arts Barcelona,"Barcelona, Spain"
Orient Express Cocktail Bar,"Barcelona, Spain"
The Paella Club,"Barcelona, Spain"
Runner Bean Tours Barcelona,"Barcelona, Spain"
